ARTICULO;REGISTRO SANITARIO;CUM;ATC
LIDO017;2009M-010169-R2;218168-4;N01BB52
LINE001;2013M-0014465;20057153-2;J01XX08
LOPE001;2009M-010882-R2;34537-2;A07DA03
LOPI002;2017M-0006028-R1;19967068-1;J05AR10
LOPI003;2016M-014876-R2;19911481-1;J05AR10
LORA001;2020M-014625-R3;39641-1;R06AX13
LORA002;2021M-013247-R2;19902391-3;N05BA06
LORA003;2017M-0000323-R2;19914657-5;N05BA06
LORA004;2021M-001206-R3;000054559-1;R06AX13
LOSA001;2018M-0018181;20123645-4;C09CA01
LOSA003;2021M-0020239;20190175-1;C09CA01
LOVA001;2018M-012909-R3;40518-6;C10AA02
MAGN001;N/A;N/A;N/A
MAGN002;2013M-0002365-R1;19935299-1;B05XA05
MANI001;2009M-000921-R3;29514-2;B05CX03
MELO003;2010M-14170-R1;19906320-1;M01AC06
MEMA001;2008M-0008245;19988137-11;N06DX01
MEPE001;2019M-0010016-R1;20008613-1;N02AB02
MERO001;2018M-0018102;20113369-2;J01DH02
MESA001;2019M-0002898-R2;19940343-02;A07EC02
MESA002;2020M-0009177-R1;19998498-5;A07EC02
MESA004;2007M-0007463;19978379-1;A07EC02
MESN001;2021M-009635-R3;24063-1;V03AF01
META001;2019M-0019006;20134504-1;N07BC02
META002;2019M-0019007;20134508-1;N07BC02
METF001;2009M-13957-R1;19905554-13;A10BA02
METI001;2020M-0009196-R1;19990590-11;H02AB04
METI002;2017M-0011946-R1;20025656-6;H03BB02
METI006;2017M-003421-R4;37193-2;G02AB01
METI007;2008M-010073 R1;40314-1;S01XA20
METO001;2015M-0004448-R1;019948280-4;M03BA03
METO002;2020M-0002998-R2;19941418-4;A03FA01
METO003;2021M-0020010;20162259-4;A03FA01
METO004;2019M-0019459;20149724-1;C07AB02
METO005;2007M-0007318;19976470-3;C07AB02
METO009;2018M-0002256-R2;19933831-1;A03FA01
METO011;2013M-0001140-R1;19927154-7;L01BA01
METO021;2013M-0014618;20056846-1;C07AB02
METO023;2017M-006135-R2;200541-11;C07AB02
METR001;2018M-0002738-R2;19938260-2;J01XD01
METR002;2021M-007158-R3;23439-4;J01XD01
METR007;2020M-14231-R2;19906811-5;J01XD01
METR008;2021M-0020362;20195414-1;J01XD01
METR009;2022M-003380-R3;1983837-2;J01XD01
METR010;2020M-0007589-R1;19980113-1;J01XD01
MICO002;2013M-0014755;20053538-1;L04AA06
MIDA001;2020M-0014713-R1;20057389-2;N05CD08
MIDA002;2020M-0003799-R2;19942581-2;N05CD08
MIDA005;2019M-0000768-R2;19920365-1;N05CD08
MILR001;2009M-0009853;20003652-2;C01CE02
MINO001;2015M-0004339-R1;19948594-1;C02DC01
MISO001;2016M-015026-R2;019914260-03;A02BB01
mont001;2020M-0007443-R1;19976917-1;R03DC03
MORF001;2020M-0010453-R1;20013906-1;N02AA01
MORF003;2020M-0010453-R1;20013906-2;N02AA01
MOXI001;2017M-0012968-R1;20031393-01;S03CA01
MOXI002;2021M-0016261-R1;20084580-5;J01MA14
MUPI001;2017M-0006299-R1;19964644-6;D06AX09
N-AC003;2021M-0009410-R1;20003535-01;R05CB01
N-AC004;2009M-0009352;20003533-1;R05CB01
NADR003;2020M-007194-R2;217850-2;B01AB06
NALO001;INVIMA 2020M-0015563-R1;20069787-1;V03AB15
NAPR001;2021M-002839-R3;17145-18;M01AE02
Neom001;2017M-0012611-R1;#N/D;
NEOS001;2007M-0007346;19976553-14;N07AA01
NEPA001;2019M-0006871-R1;#N/D;
NIFE002;2018M-0012346-R1;20025310-8;C08CA05
NIMO001;2017M-013061-R1;000040927-14;C08CA06
NIST001;2020M-0008850-R1;019997076-01;A07AA02
NIST003;2019M-0006640-R1;19967422-01;D01AA01
NIST004;2008M-0007898;19983446-02;A07AA02
NITR002;2007M-0006953-R1;19968374-03;D08AF99
NITR003;2015M-0016180;20087310-02;C01DA02
NITR004;2018M-0012782-R1;20032988-1;C02DD01
NITR005;2007M-0006953;19968374-01;D08AF99
NORE001;2014M-0003455-R1;19940783-01;C01CA03
NUTR001;RSA-001507-2016;N/A;NUTRICION
NUTR002;RSA-001507-2016;N/A;NUTRICION
NUTR003;RSA-03378-2017;N/A;NUTRICION
NUTR004;RSA-002532-2016;N/A;NUTRICION
NUTR005;RSIA10/115115;N/A;NUTRICION
NUTR006;RSA-004159-2017;N/A;NUTRICION
NUTR007;RSA-004159-2017;N/A;NUTRICION
NUTR008;RSIA03I16314;N/A;NUTRICION
NUTR009;0;N/A;
NUTR013;RSiA16l186115;N/A;NUTRICION
NUTR019;0;N/A;NUTRICION
NUTR020;RSiA10/115115;N/A;NUTRICION
OCTR001;2021M-0001356-R2;19928405-01;H01CB02
OLAN001;2008M-0008711 ;19989933-01;N05AH03
OLAN002;2021M-0007233-R1;19974415-03;N05AH03
OMEP001;2021M-013239-R3;41072-15;A02BC01
OMEP002;2016M-0000504-R2;19922566-09;A02BC01
OMNI003;2018M-009499-R3;22542-08;V08AB02
ONDA001;2020M-0015228-R1;20065058-1;A04AA01
OSEL001;N/A;N/A;
OXAC001;2018M-0014184-R1;020049275-02;J01CF04
OXIB002;2016M-0017528;20108174-01;G04BD04
OXIM001;2021M-0011265-R2;20018967-01;R01AA05
OXIM002;2017M-0006098-R1;19963482-6;R01AA05
OXIM004;2016M-0011265-R1;20018966-1;R01AA05
OXIT001;2018M-0000353-R2;19915399-03;H01BB02
OXIT002;2017M-004213-R2;#N/D;#N/D
OXIT003;2006M-003899-R1;#N/D;#N/D
PARA002;2019M-0015201-R1;20066107-02;N02BE01
PEGF002;2016M-0004907-R1;19959519-02;L03AA13
PENI001;2018M-0014213-R1;20046873-01;J01CE01
PENI002;2018M-0014212-R1;20046872-01;J01CE01
PENI004;2019M-0001538-R2;19929276-04;J01CE08
PENT006;N/A;N/A;#N/D
PENT007;2017M-0000546-R2;19922528-1;C04AD03
Perm001;2016M-012172-R3;37514-01;P03AC04
PILO001;2015M-003820-R3;39261-1;S01EB01
PIPE001;2016M-0017473;20110801-03;J01CR05
PIRA003;2019M-13477-R2;#N/D;#N/D
PIRI001;2017M-014872-R2;19908128-07;N07AA02
PIRI002;2019M-0008878-R1;19996984-1;A11HA02
Poli002;2018M-0014049-R1;20052492-02;V03AE01
POLI003;2018M-006014-R2;56622-01;V03AE01
POLI004;2021M-0016203-R1;20084425-02;A06AD65
POLI005;2015M-0015827;20075095-03;J01XB02
POLI165;2014M-0002655-R1;19937957-7;S01XA20
POLI167;2020M-015336-R3;50476-2;A06AD65
POTA001;2021M-0008305;19990900-1;B05XA01
POTA002;2019M-0018903;20151815-01;A12BA05
PRAS001;2010M-0010321;20006437-01;B01AC22
PRAZ001;2017M-0005408-R1;19961372-07;C02CA01
PRED001;2020M-0010432-R1;20011084-05;H02AB06
PRED002;2009M-14099-R1;019906237-05;H02AB07
PRED003;2022M-0008221-R1;19981546-01;S01BA04
PRED004;2008M-0008086;#N/D;#N/D
PREG002;2017M-0017645;20091820-6;N03AX16
PREG003;2018M-0013498-R1;20041735-01;N03AX16
PRIM001;2014M-0003188-R1;19943341-01;P01BA03
PROG001;2021M-0016686-R1;20077103-01;G03DA04
PROP001;2017M-0006228-R1;19969143-1;C01BC03
PROP002;N/A;N/A;#N/D
PROP003;2007M-0007474;19978181-24;C07AA05
PROT001;2015M-0016494;20079687-01;V03AB14
QUET001;2018M-0018080;20112759-1;N05AH04
QUIR001;2015DM-0014198;#N/D;#N/D
REMI001;2020M-006549-R2;209802-01;N01AH06
RIFA002;2008M-010529-R1;000030168-01;J04AB02
RIFA003;2015M-0003480-R1;19943272-01;J04AB03
RIFA005;2020M-0013667-R1;20043439-10;A07AA11
RIFA006;2009M-0009734;N/A;#N/D
RIFA009;N/A;N/A;#N/D
Risp001;2017M-0004983-R1;019956205-03;N05AX08
RIVA001;2018M-0012816-R1;20029235-01;B01AF01
RIVA002;2014M-0015572;20067147-02;B01AF01
RIVA003;2018M-0012817-R1;20029236-01;B01AF01
ROCU002;2009M-0010170;20005920-01;M03AC09
SACU001;2016M-0017291;20088574-01;C09DX04
SALB001;2020M-13589-R2;33250-2;R03AC02
SALB002;2021M-0009874-R1;20001675-1;R03AC02
salm001;2016M-0011071-R1;20013309-02;R03AK06
SERT001;2012M-0001992-R1;19932573-1;N06AB
SILD001;2017M-0000370-R2;19914377-03;G04BE03
sodi001;2020M-0003050-R2;019942695-02;B05XA03
SODI002;2020M-001117-R4;00029523-03;B05XA03
SODI003;2020M-001117-R4;29523-04;B05XA03
SODI004;2020M-001117-R4;00029523-05;B05XA03
SODI005;2021M-0002557-R2;19934265-3;B05XA03
SODI006;2016M-015075-R2;19906526-03;#N/D
SODI007;2020M-002067R3;32609-1;#N/D
SOMA002;2004M-0003061;19938454-01;H01CB01
SOMA003;2015M-0003651-R1;#N/D;#N/D
SUCC001;2020M-0013484-R1;20037305-01;M03AB01
SUCR001;2010M-011598-R2;36743-01;#N/D
SUCR002;2018M-013579-R3;41528-04;A02BX02
SULF001;2015M-0003451-R1;20022399-01;S01AB04
SULF002;2017M-0006222-R1;19962369-1;D06BA01
SULF004;2017M-0000479-R2;19914806-06;B03AA07
SULF008;2015M-0004018-R1;19947421-01;A07EC01
SULF012;2016M-0017362;20101982-02;A12CB01
SULT002;2021M-010047-R2;224929-3;J01CR04
SUST001;2017M-0012585-R1;20029994-01;B05AA06
SUXA001;2012M-0013484;20037305-01;M03AB01
TANS001;2016M-0016775;20064702-1;G04CA02
TAPE008;0;#N/D;#N/D
TELM001;2018M-0001474-R2;19928606-02;C09DA07
TENE002;2012M-0001968-R1;19932170-01;B01AD11
TEOF001;2014M-0014964;020061730-12;R03DA04
TEOF002;2017M-0012321-R1;20027951-01;R03DA04
TERL001;2017M-0017656;20105139-4;H01BA04
TIAM001;2017M-0006052-R1;19960067-16;A11DA01
TIAM002;2016M-003721-R4;000038332-02;A11DA01
TICA001;2017M-0012872-R1;020039341-02;B01AC24
TIGE001;2016M-0004889-R1;19959604-06;J01AA12
TIMO001;2015M-0003494-R1;#N/D;#N/D
TIOP001;2021M-005982-R2;11878-03;N01AF03
TIRO001;2008M-011798 R-1;228406-01;B01AC17
TOBR002;2016M-0011565-R1;20022403-1;S01AA20
TOBR003;N/A;N/A;#N/D
TOBR004;2021M-012123-R2;230337-01;S01CA01
TOPI005;2008M-0008066;19984811-01;N03AX11
TOXI001;2009M-0009951;20004997-01;M03AX01
TOXO001;2020MB-0014543-R1;20046007-2;J07CA09
TRAM001;2008M-011842-R1;216131-2;N02AX02
TRAM002;2021M-0000733-R2;19924285-34;N02AX02
TRAM004;2021M-0013188-R1;20045072-04;N02AX02
TRAN001;2016M-0017408;20105871-01;B02AA02
TRAZ001;2021M-002634-R3;17135-1;N06AX05
TRIM001;2020M-0009171-R1;19995087-07;J01EE01
TRIM002;2021M-003367-R3;51063-09;J01EE01
TRIM007;2009M-0009328;19999947-18;A03AA05
vacu001;2014M-0015095;20072153-01;J07CA09
VACU002;2017M-003900 R-2;60052-01;J07BC01
VACU003;2010M-0010461;20011362-01;J07AL02
VACU004;N/A;N/A;
VACU005;2016M-0011293-R1;20012256-03;J07AH05
VACU006;2013M-0014543;20046007-2;J07AM01
VACU007;2010M-0010461;20011362-01;J07AL02
VALG001;2019M-0001251-R1;19927730-01;J05AB14
VALP001;2016M-0016861;20096872-01;N03AG01
VALP002;2016M-0011592-R1;20016549-61;N03AG01
VALP003;2016M-0004827-R1;19955370-7;N03AG01
VALS002;2018M-0007509-R1;19978105-02;C09CA03
VANC001;2021M-0009932-R1;19999738-06;J01XA01
VANC003;;;N/A
VANC004;2019M-0019400;20130805-01;J01XA01
VASE001;2008 M-010290 R-1;41911-03;D02AX98
VASE003;2008 M-010290 R-1;41911-01;D02AX98
VASO001;2015M-0016458;20096205-01;H01BA01
VECU001;N/A;N/A;M03AC03
VECU003;2020M-0001026-R2;19926750-23;M03AC03
VERA001;2018M-012135-R3;000037897-04;C08DA01
VERA002;2017M-012136-R3;37892-03;C08DA01
VISC001;2013M-00002099-R1;19933626-02;S01XA20
VITA001;2021M-003990-R4;000040260-05;B03BA01
VORI001;2019M-0003592-R2;019943917-01;J02AC03
WARF001;2015M-0016414;20096037-6;B01AA03
YODO009;2018M-006034-R2;50744-2;S01AX18
TELM003;2021M-0014161-R1;20042993-02;C09CA07
PIRA002;N/A;N/A;N/A
ETAM001;N/A;N/A;N/A
CARB008;N/A;N/A;N/A
IRBE001;2009M-0009329;19996241-01;C09CA04
RITO001;2012M-0013409;20041359-01;J05AE03
EMTR002;2019M-0019111;20092764-02;J05AR03
IRBE002;2018M-0006654-R1;19969441-01;C09CA04
FOND001;2017M-0001399-R2;19928346-02;B01AX05
ACET015;2017M-3895-R4;38991-02;H02AB08
VALS004;2020M-0007244-R1;19975971-04;C09CA03
ATOR003;2017M-0005892-R1;19963352-02;C10AA05
ISON001;N/A;N/A;N/A
HIDR014;2009M-013160-R1;19901625-1;L01XX05
AGUA004;2021M-0013573-R1;20041806-01;V07ABX1
ALIM008;RSA-006127-2018;N/A;N/A
DICL003;2016M-0004619-R1;19953925-01;J01CF01
ESCI002;2015M-0016680;20088762-01;N06AB10
ESPO004;2015M-0016328;20078798-01;A07FA03
GLIC004;2016M-0005012-R1;19954360-01;B05XA14
GLIC006;N/A;N/A;N/A
IBUP004;2016M-001237-R2;58073-01;M01AE01
LAMI007;2021M-0007440-R1;19975104-03;J05AF05
LEVE003;2018M-0018526;20122152-01;N03AX14
LEVO002;2016M-0004798-R1;19953957-01;N05AA02
LEVO016;INVIMA 2016 M-013339-R2;19902579-02;N01BB01
lopi001;2018M-0008553-R1;19994092-01;J05AR10
MELO004;2017M-0006201-R1;19965075-03;M01AC06
MOXI003;2016M-0011405-R1;20014297-01;S01AE07
MULT016;2007M-007193-R1;#N/D;
OMNI004;2018M-009499-R3;22542-09;V08AB02
OXIC001;2008M-0008586;19993083-02;N02AA05
PROX001; 2016M-07585-R3;111057-01;S01HA04
SALE001;2021M-0007276-R1;19976587-03;A07CA99
SEVO002;2020M-014996-R3;19975402-01;N01AB08
SIME001;2016 M-003893 R-2;1980366-03;A03AC02
SODI011;2020M-001117-R4;29523-02;B05XA03
TOPI004;2009M-0010037;20005150-01;N03AX11
TOBR001;2019M-0009892-R1;19993894-01;S01AA12
TRAM003; 2021M-000897-R3;51716-01;N02AX02
TRIM008;2015M-0003414R-1;19942431-03;C01EB15
TRIM009;2021M-006045-R4;20678-01;J01EE01
TROP002;2008M-001465-R3;33031-01;S01FA56
VACU008;2020MB-012551-R2;230249-01;J07CA06
VACU009;2019M-011972-R3;N/A;
VACU010;2014M-0015084;40062-05;J07AH03
VALS005;2020M-0007062-R1;19977789-02;C09DB01
VITA005;2021M-006220-R2;43462-02;B05BA10
VITA006;2020M-14228-R2;19900781-01;B05BA10
ZIDO002;2007M-0007425;19974944-01;J05AF01
AMLO001;2018M-006138-R2;55895-8;C08CA01
CIPR001;2021M-0012177-R2;20026284-04;J01MA02
HIDR002;2014M-0003102;19940721-15;H02AB09
BETA011;2021M-0016732-R1;20092728-01;D07AC01
HIDR001;2009M-001733-R3;34162-04;
